id,title,link,score,review
94,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,8,"간만에 가슴 뛰는 판타지 시리즈. 관람 전에 유튜브로 대충 기본 설정과 용어 해설을 습득하고 가서 어렵지 않았다. 오히려 원작을 아는 상태라면 친절한 편이라고 생각하고, 긴 러닝타임이라 지루하게 느껴질 수 있지만 극도로 내 취향이라 재밌게 봤다. 배우들의 매력이 상당했는데 특히 티모시 샬라메가 왜 인기 있는지 알 수 있었다."
95,데몰리션,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=133424&target=after,9,오랜만에 명작 봤습니다
96,나를 구하지 마세요,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=193330&target=after,9,공포와 절망으로 가득찬 세상.아이의 잘못은 무엇인가.
97,더 파더,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191920&target=after,9,치매걸린 노인의 모습을 미스터리하게 풀어내는 방식이 매우 멋있다. 주인공의 혼란스러운 마음을 기가 막힌 편집기술로 구현해냈고 안소니 홉킨스의 연기는 완벽했다.
98,정글 크루즈,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=179406&target=after,8,생각보다 내용도 좋고 괜찮았어요.
99,맨 온 파이어,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=38574&target=after,10,말해뭐해~ 또봐도 찌릿함
100,라이언 일병 구하기,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=18988&target=after,10,이 영화는 남여 가릴 것 없이 한번쯤은 봐야하는 영화다.
101,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,6,1편에 비해서는 조금 별로였어요... 기대 노놉
102,기적,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=199860&target=after,10,와..반전과 여운이 남는 영화였어요ㅠ 윤아 너무 귀엽고 누나와 동생은 더할나위없이 좋았네요
103,귀문,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=206168&target=after,1,내가 뭘 본거야 지금..
